Iteracion,Semilla,MLP Accuracy,MLP Duracion (ms),LR Accuracy,LR Duracion (ms)
1,1096,0.8806289679610217,4597.0,0.9038092425808357,6115.0
2,1407,0.8798373629565092,4985.0,0.8984244536411821,5792.0
3,1279,0.8786407766990292,4608.0,0.8973227419829362,5948.0
4,1320,0.883511619328661,4550.0,0.9021025451862781,5953.0
5,1431,0.8834392523364486,4953.0,0.8988411214953271,5878.0
6,1479,0.8838143409699494,4373.0,0.9047902409997025,5906.0
7,1488,0.8849232576925902,5148.0,0.9018873466989792,6040.0
8,1308,0.8762817154404611,4314.0,0.9030012723598533,5989.0
9,1455,0.8863202700719214,4592.0,0.9013650374284456,5903.0
10,1352,0.8857375592417062,4614.0,0.9029917061611374,5996.0
11,1139,0.8834656182775759,4749.0,0.8983013129589793,5849.0
12,1304,0.8807110327603938,4558.0,0.903848978992214,6362.0
13,1013,0.8786583118319203,4891.0,0.9013638039071139,6130.0
14,1269,0.8830026887580844,4683.0,0.9013153113872538,6205.0
15,1466,0.8854615727664635,4864.0,0.9017392596997176,5920.0
16,1145,0.8794141699501896,4375.0,0.9002304661363467,6187.0
17,1060,0.8827351942106041,4789.0,0.8997932358588097,5868.0
18,1080,0.8891111111111111,4440.0,0.9014814814814814,5753.0
19,1100,0.8839015011461954,4645.0,0.901427198106929,6005.0
20,1150,0.8824265626150335,4933.0,0.8989177648531252,5945.0
21,1270,0.8813960366755398,4856.0,0.8995859213250518,6025.0
22,1146,0.8865415866449993,4661.0,0.9017580144777663,5850.0
23,1220,0.8788726175583192,4933.0,0.9035984987857826,5923.0
24,1213,0.8808431952662722,4440.0,0.9022189349112426,6161.0
25,1229,0.8774250440917107,5008.0,0.9011610817166372,5930.0
26,1407,0.8798373629565092,4680.0,0.8984244536411821,5861.0
27,1411,0.881870385561936,5050.0,0.9006637333134462,6258.0
28,1194,0.8870895854999257,4564.0,0.9028376169959887,6167.0
29,1232,0.8825791186039633,4687.0,0.9007690032534753,6046.0
30,1265,0.8827708703374778,4457.0,0.9006808762581409,6204.0
